,estado,estado_ab,condado,partido,candidato,votos,fraccion_votos
134,Alabama,AL,Autauga,Republican,Ben Carson,1764,0.146
135,Alabama,AL,Autauga,Republican,Donald Trump,5387,0.445
137,Alabama,AL,Autauga,Republican,Marco Rubio,1785,0.148
138,Alabama,AL,Autauga,Republican,Ted Cruz,2482,0.205
139,Alabama,AL,Baldwin,Republican,Ben Carson,4221,0.084
140,Alabama,AL,Baldwin,Republican,Donald Trump,23618,0.469
141,Alabama,AL,Baldwin,Republican,John Kasich,2987,0.059
142,Alabama,AL,Baldwin,Republican,Marco Rubio,9703,0.193
143,Alabama,AL,Baldwin,Republican,Ted Cruz,8571,0.17
145,Alabama,AL,Barbour,Republican,Donald Trump,1710,0.501
150,Alabama,AL,Bibb,Republican,Donald Trump,1959,0.494
154,Alabama,AL,Blount,Republican,Ben Carson,1523,0.1
155,Alabama,AL,Blount,Republican,Donald Trump,7390,0.487
157,Alabama,AL,Blount,Republican,Marco Rubio,1843,0.122
158,Alabama,AL,Blount,Republican,Ted Cruz,3698,0.244
165,Alabama,AL,Butler,Republican,Donald Trump,1720,0.538
169,Alabama,AL,Calhoun,Republican,Ben Carson,2350,0.118
170,Alabama,AL,Calhoun,Republican,Donald Trump,8960,0.451
172,Alabama,AL,Calhoun,Republican,Marco Rubio,3251,0.163
173,Alabama,AL,Calhoun,Republican,Ted Cruz,3859,0.194
175,Alabama,AL,Chambers,Republican,Donald Trump,2169,0.476
180,Alabama,AL,Cherokee,Republican,Donald Trump,2777,0.521
185,Alabama,AL,Chilton,Republican,Donald Trump,5273,0.493
188,Alabama,AL,Chilton,Republican,Ted Cruz,2328,0.218
195,Alabama,AL,Clarke,Republican,Donald Trump,2308,0.502
200,Alabama,AL,Clay,Republican,Donald Trump,1920,0.476
205,Alabama,AL,Cleburne,Republican,Donald Trump,2120,0.483
210,Alabama,AL,Coffee,Republican,Donald Trump,4304,0.414
212,Alabama,AL,Coffee,Republican,Marco Rubio,1608,0.155
213,Alabama,AL,Coffee,Republican,Ted Cruz,2421,0.233
215,Alabama,AL,Colbert,Republican,Donald Trump,3858,0.474
218,Alabama,AL,Colbert,Republican,Ted Cruz,1601,0.197
230,Alabama,AL,Covington,Republican,Donald Trump,4608,0.481
233,Alabama,AL,Covington,Republican,Ted Cruz,1773,0.185
239,Alabama,AL,Cullman,Republican,Ben Carson,2301,0.11
240,Alabama,AL,Cullman,Republican,Donald Trump,10618,0.506
242,Alabama,AL,Cullman,Republican,Marco Rubio,2832,0.135
243,Alabama,AL,Cullman,Republican,Ted Cruz,4248,0.203
245,Alabama,AL,Dale,Republican,Donald Trump,4151,0.453
248,Alabama,AL,Dale,Republican,Ted Cruz,2008,0.219
255,Alabama,AL,DeKalb,Republican,Donald Trump,6247,0.476
257,Alabama,AL,DeKalb,Republican,Marco Rubio,2837,0.216
258,Alabama,AL,DeKalb,Republican,Ted Cruz,2153,0.164
259,Alabama,AL,Elmore,Republican,Ben Carson,2630,0.148
260,Alabama,AL,Elmore,Republican,Donald Trump,8525,0.478
262,Alabama,AL,Elmore,Republican,Marco Rubio,2387,0.134
263,Alabama,AL,Elmore,Republican,Ted Cruz,3236,0.182
265,Alabama,AL,Escambia,Republican,Donald Trump,2817,0.493
269,Alabama,AL,Etowah,Republican,Ben Carson,2098,0.112
270,Alabama,AL,Etowah,Republican,Donald Trump,8657,0.461
272,Alabama,AL,Etowah,Republican,Marco Rubio,3155,0.168
273,Alabama,AL,Etowah,Republican,Ted Cruz,3891,0.207
275,Alabama,AL,Fayette,Republican,Donald Trump,2479,0.499
280,Alabama,AL,Franklin,Republican,Donald Trump,2155,0.515
285,Alabama,AL,Geneva,Republican,Donald Trump,3106,0.486
288,Alabama,AL,Geneva,Republican,Ted Cruz,1517,0.237
300,Alabama,AL,Henry,Republican,Donald Trump,1778,0.468
304,Alabama,AL,Houston,Republican,Ben Carson,2310,0.114
305,Alabama,AL,Houston,Republican,Donald Trump,8171,0.404
307,Alabama,AL,Houston,Republican,Marco Rubio,3683,0.182
308,Alabama,AL,Houston,Republican,Ted Cruz,4558,0.225
310,Alabama,AL,Jackson,Republican,Donald Trump,5463,0.499
312,Alabama,AL,Jackson,Republican,Marco Rubio,1847,0.169
313,Alabama,AL,Jackson,Republican,Ted Cruz,1791,0.164
314,Alabama,AL,Jefferson,Republican,Ben Carson,8368,0.089
315,Alabama,AL,Jefferson,Republican,Donald Trump,32853,0.35
316,Alabama,AL,Jefferson,Republican,John Kasich,5711,0.061
317,Alabama,AL,Jefferson,Republican,Marco Rubio,23132,0.247
318,Alabama,AL,Jefferson,Republican,Ted Cruz,22355,0.238
320,Alabama,AL,Lamar,Republican,Donald Trump,1810,0.504
324,Alabama,AL,Lauderdale,Republican,Ben Carson,2151,0.121
325,Alabama,AL,Lauderdale,Republican,Donald Trump,7502,0.421
327,Alabama,AL,Lauderdale,Republican,Marco Rubio,3320,0.187
328,Alabama,AL,Lauderdale,Republican,Ted Cruz,3265,0.183
330,Alabama,AL,Lawrence,Republican,Donald Trump,3604,0.528
334,Alabama,AL,Lee,Republican,Ben Carson,2460,0.117
335,Alabama,AL,Lee,Republican,Donald Trump,6934,0.33
336,Alabama,AL,Lee,Republican,John Kasich,1501,0.071
337,Alabama,AL,Lee,Republican,Marco Rubio,4734,0.225
338,Alabama,AL,Lee,Republican,Ted Cruz,4880,0.232
339,Alabama,AL,Limestone,Republican,Ben Carson,2061,0.108
340,Alabama,AL,Limestone,Republican,Donald Trump,8198,0.43
342,Alabama,AL,Limestone,Republican,Marco Rubio,3602,0.189
343,Alabama,AL,Limestone,Republican,Ted Cruz,4082,0.214
354,Alabama,AL,Madison,Republican,Ben Carson,6293,0.096
355,Alabama,AL,Madison,Republican,Donald Trump,23791,0.362
356,Alabama,AL,Madison,Republican,John Kasich,3919,0.06
357,Alabama,AL,Madison,Republican,Marco Rubio,17116,0.26
358,Alabama,AL,Madison,Republican,Ted Cruz,13622,0.207
365,Alabama,AL,Marion,Republican,Donald Trump,3503,0.529
369,Alabama,AL,Marshall,Republican,Ben Carson,1813,0.098
370,Alabama,AL,Marshall,Republican,Donald Trump,9115,0.495
372,Alabama,AL,Marshall,Republican,Marco Rubio,3785,0.206
373,Alabama,AL,Marshall,Republican,Ted Cruz,2784,0.151
374,Alabama,AL,Mobile,Republican,Ben Carson,4824,0.077
375,Alabama,AL,Mobile,Republican,Donald Trump,28326,0.452
376,Alabama,AL,Mobile,Republican,John Kasich,2893,0.046
377,Alabama,AL,Mobile,Republican,Marco Rubio,11850,0.189
378,Alabama,AL,Mobile,Republican,Ted Cruz,13458,0.215
380,Alabama,AL,Monroe,Republican,Donald Trump,1966,0.521
384,Alabama,AL,Montgomery,Republican,Ben Carson,3379,0.127
385,Alabama,AL,Montgomery,Republican,Donald Trump,10517,0.394
386,Alabama,AL,Montgomery,Republican,John Kasich,1953,0.073
387,Alabama,AL,Montgomery,Republican,Marco Rubio,5570,0.209
388,Alabama,AL,Montgomery,Republican,Ted Cruz,4700,0.176
389,Alabama,AL,Morgan,Republican,Ben Carson,2790,0.114
390,Alabama,AL,Morgan,Republican,Donald Trump,10909,0.446
392,Alabama,AL,Morgan,Republican,Marco Rubio,4488,0.183
393,Alabama,AL,Morgan,Republican,Ted Cruz,4828,0.197
405,Alabama,AL,Pike,Republican,Donald Trump,2493,0.46
410,Alabama,AL,Randolph,Republican,Donald Trump,2352,0.516
415,Alabama,AL,Russell,Republican,Donald Trump,1784,0.474
419,Alabama,AL,Shelby,Republican,Ben Carson,5005,0.094
420,Alabama,AL,Shelby,Republican,Donald Trump,18260,0.344
421,Alabama,AL,Shelby,Republican,John Kasich,2679,0.05
422,Alabama,AL,Shelby,Republican,Marco Rubio,12213,0.23
423,Alabama,AL,Shelby,Republican,Ted Cruz,14005,0.263
424,Alabama,AL,St. Clair,Republican,Ben Carson,2093,0.109
425,Alabama,AL,St. Clair,Republican,Donald Trump,8596,0.446
427,Alabama,AL,St. Clair,Republican,Marco Rubio,2586,0.134
428,Alabama,AL,St. Clair,Republican,Ted Cruz,5178,0.269
435,Alabama,AL,Talladega,Republican,Donald Trump,6304,0.51
437,Alabama,AL,Talladega,Republican,Marco Rubio,1676,0.136
438,Alabama,AL,Talladega,Republican,Ted Cruz,2468,0.2
440,Alabama,AL,Tallapoosa,Republican,Donald Trump,4658,0.528
444,Alabama,AL,Tuscaloosa,Republican,Ben Carson,3310,0.106
445,Alabama,AL,Tuscaloosa,Republican,Donald Trump,11652,0.375
447,Alabama,AL,Tuscaloosa,Republican,Marco Rubio,6333,0.204
448,Alabama,AL,Tuscaloosa,Republican,Ted Cruz,7789,0.25
450,Alabama,AL,Walker,Republican,Donald Trump,8394,0.551
452,Alabama,AL,Walker,Republican,Marco Rubio,1652,0.108
453,Alabama,AL,Walker,Republican,Ted Cruz,3106,0.204
465,Alabama,AL,Winston,Republican,Donald Trump,3352,0.561
782,Arizona,AZ,Cochise,Republican,Donald Trump,6339,0.498
784,Arizona,AZ,Cochise,Republican,Ted Cruz,3736,0.293
785,Arizona,AZ,Coconino,Republican,Donald Trump,3324,0.392
787,Arizona,AZ,Coconino,Republican,Ted Cruz,2843,0.335
788,Arizona,AZ,Gila,Republican,Donald Trump,3065,0.539
791,Arizona,AZ,Graham,Republican,Donald Trump,1501,0.391
793,Arizona,AZ,Graham,Republican,Ted Cruz,1606,0.419
800,Arizona,AZ,Maricopa,Republican,Donald Trump,144522,0.462
801,Arizona,AZ,Maricopa,Republican,John Kasich,33803,0.108
802,Arizona,AZ,Maricopa,Republican,Ted Cruz,72216,0.231
803,Arizona,AZ,Mohave,Republican,Donald Trump,14154,0.648
805,Arizona,AZ,Mohave,Republican,Ted Cruz,4744,0.217
806,Arizona,AZ,Navajo,Republican,Donald Trump,3558,0.414
808,Arizona,AZ,Navajo,Republican,Ted Cruz,3481,0.405
809,Arizona,AZ,Pima,Republican,Donald Trump,36804,0.436
810,Arizona,AZ,Pima,Republican,John Kasich,9854,0.117
811,Arizona,AZ,Pima,Republican,Ted Cruz,23137,0.274
812,Arizona,AZ,Pinal,Republican,Donald Trump,12182,0.575
813,Arizona,AZ,Pinal,Republican,John Kasich,1567,0.074
814,Arizona,AZ,Pinal,Republican,Ted Cruz,4079,0.192
818,Arizona,AZ,Yavapai,Republican,Donald Trump,17005,0.476
819,Arizona,AZ,Yavapai,Republican,John Kasich,3259,0.091
820,Arizona,AZ,Yavapai,Republican,Ted Cruz,10547,0.295
821,Arizona,AZ,Yuma,Republican,Donald Trump,4390,0.495
823,Arizona,AZ,Yuma,Republican,Ted Cruz,2556,0.288
985,Arkansas,AR,Baxter,Republican,Donald Trump,3798,0.438
988,Arkansas,AR,Baxter,Republican,Ted Cruz,2480,0.286
989,Arkansas,AR,Benton,Republican,Ben Carson,2525,0.06
990,Arkansas,AR,Benton,Republican,Donald Trump,11828,0.279
991,Arkansas,AR,Benton,Republican,John Kasich,2272,0.054
992,Arkansas,AR,Benton,Republican,Marco Rubio,12863,0.303
993,Arkansas,AR,Benton,Republican,Ted Cruz,11909,0.281
995,Arkansas,AR,Boone,Republican,Donald Trump,2577,0.407
998,Arkansas,AR,Boone,Republican,Ted Cruz,1589,0.251
1030,Arkansas,AR,Cleburne,Republican,Donald Trump,2530,0.368
1033,Arkansas,AR,Cleburne,Republican,Ted Cruz,2227,0.324
1050,Arkansas,AR,Craighead,Republican,Donald Trump,3429,0.279
1052,Arkansas,AR,Craighead,Republican,Marco Rubio,3142,0.255
1053,Arkansas,AR,Craighead,Republican,Ted Cruz,4108,0.334
1055,Arkansas,AR,Crawford,Republican,Donald Trump,3392,0.32
1057,Arkansas,AR,Crawford,Republican,Marco Rubio,2251,0.212
1058,Arkansas,AR,Crawford,Republican,Ted Cruz,3926,0.371
1085,Arkansas,AR,Faulkner,Republican,Donald Trump,5078,0.272
1087,Arkansas,AR,Faulkner,Republican,Marco Rubio,5426,0.29
1088,Arkansas,AR,Faulkner,Republican,Ted Cruz,6228,0.333
1100,Arkansas,AR,Garland,Republican,Donald Trump,5538,0.352
1102,Arkansas,AR,Garland,Republican,Marco Rubio,4050,0.257
1103,Arkansas,AR,Garland,Republican,Ted Cruz,4081,0.259
1110,Arkansas,AR,Greene,Republican,Donald Trump,2103,0.351
1113,Arkansas,AR,Greene,Republican,Ted Cruz,1709,0.285
1120,Arkansas,AR,Hot Spring,Republican,Donald Trump,1597,0.373
1130,Arkansas,AR,Independence,Republican,Donald Trump,2077,0.349
1133,Arkansas,AR,Independence,Republican,Ted Cruz,1644,0.276
1185,Arkansas,AR,Lonoke,Republican,Donald Trump,3826,0.325
1187,Arkansas,AR,Lonoke,Republican,Marco Rubio,2588,0.22
1188,Arkansas,AR,Lonoke,Republican,Ted Cruz,4028,0.342
1195,Arkansas,AR,Marion,Republican,Donald Trump,1581,0.431
1200,Arkansas,AR,Miller,Republican,Donald Trump,2425,0.347
1203,Arkansas,AR,Miller,Republican,Ted Cruz,2741,0.392
1205,Arkansas,AR,Mississippi,Republican,Donald Trump,1575,0.426
1255,Arkansas,AR,Polk,Republican,Donald Trump,1895,0.403
1260,Arkansas,AR,Pope,Republican,Donald Trump,3073,0.321
1262,Arkansas,AR,Pope,Republican,Marco Rubio,2331,0.244
1263,Arkansas,AR,Pope,Republican,Ted Cruz,3005,0.314
1269,Arkansas,AR,Pulaski,Republican,Ben Carson,2020,0.044
1270,Arkansas,AR,Pulaski,Republican,Donald Trump,11840,0.256
1271,Arkansas,AR,Pulaski,Republican,John Kasich,2534,0.055
1272,Arkansas,AR,Pulaski,Republican,Marco Rubio,16282,0.352
1273,Arkansas,AR,Pulaski,Republican,Ted Cruz,12848,0.278
1285,Arkansas,AR,Saline,Republican,Donald Trump,6934,0.306
1287,Arkansas,AR,Saline,Republican,Marco Rubio,6119,0.27
1288,Arkansas,AR,Saline,Republican,Ted Cruz,7507,0.331
1300,Arkansas,AR,Sebastian,Republican,Donald Trump,6030,0.323
1302,Arkansas,AR,Sebastian,Republican,Marco Rubio,4473,0.24
1303,Arkansas,AR,Sebastian,Republican,Ted Cruz,5686,0.305
1329,Arkansas,AR,Washington,Republican,Ben Carson,1541,0.053
1330,Arkansas,AR,Washington,Republican,Donald Trump,7968,0.275
1332,Arkansas,AR,Washington,Republican,Marco Rubio,8730,0.301
1333,Arkansas,AR,Washington,Republican,Ted Cruz,8890,0.307
1335,Arkansas,AR,White,Republican,Donald Trump,4074,0.316
1337,Arkansas,AR,White,Republican,Marco Rubio,2877,0.223
1338,Arkansas,AR,White,Republican,Ted Cruz,4395,0.341
1465,California,CA,Alameda,Republican,Donald Trump,19951,0.669
1466,California,CA,Alameda,Republican,John Kasich,5108,0.171
1467,California,CA,Alameda,Republican,Ted Cruz,3208,0.108
1471,California,CA,Amador,Republican,Donald Trump,3605,0.817
1474,California,CA,Butte,Republican,Donald Trump,15695,0.804
1477,California,CA,Calaveras,Republican,Donald Trump,4902,0.83
1483,California,CA,Contra Costa,Republican,Donald Trump,28612,0.704
1484,California,CA,Contra Costa,Republican,John Kasich,6936,0.171
1485,California,CA,Contra Costa,Republican,Ted Cruz,3476,0.086
1486,California,CA,Del Norte,Republican,Donald Trump,1536,0.786
1489,California,CA,El Dorado,Republican,Donald Trump,17651,0.795
1490,California,CA,El Dorado,Republican,John Kasich,2095,0.094
1491,California,CA,El Dorado,Republican,Ted Cruz,1583,0.071
1492,California,CA,Fresno,Republican,Donald Trump,37672,0.773
1493,California,CA,Fresno,Republican,John Kasich,3893,0.08
1494,California,CA,Fresno,Republican,Ted Cruz,5150,0.106
1495,California,CA,Glenn,Republican,Donald Trump,1699,0.803
1498,California,CA,Humboldt,Republican,Donald Trump,4613,0.732
1501,California,CA,Imperial,Republican,Donald Trump,2222,0.729
1507,California,CA,Kern,Republican,Donald Trump,33838,0.779
1508,California,CA,Kern,Republican,John Kasich,2931,0.067
1509,California,CA,Kern,Republican,Ted Cruz,4917,0.113
1510,California,CA,Kings,Republican,Donald Trump,7046,0.803
1513,California,CA,Lake,Republican,Donald Trump,2261,0.788
1516,California,CA,Lassen,Republican,Donald Trump,2508,0.838
1519,California,CA,Los Angeles,Republican,Donald Trump,179130,0.698
1520,California,CA,Los Angeles,Republican,John Kasich,33559,0.131
1521,California,CA,Los Angeles,Republican,Ted Cruz,30775,0.12
1522,California,CA,Madera,Republican,Donald Trump,8247,0.788
1525,California,CA,Marin,Republican,Donald Trump,6409,0.663
1526,California,CA,Marin,Republican,John Kasich,2318,0.24
1528,California,CA,Mariposa,Republican,Donald Trump,1940,0.776
1531,California,CA,Mendocino,Republican,Donald Trump,1769,0.772
1534,California,CA,Merced,Republican,Donald Trump,6712,0.792
1543,California,CA,Monterey,Republican,Donald Trump,8079,0.708
1544,California,CA,Monterey,Republican,John Kasich,1912,0.168
1546,California,CA,Napa,Republican,Donald Trump,4000,0.73
1549,California,CA,Nevada,Republican,Donald Trump,7628,0.805
1552,California,CA,Orange,Republican,Donald Trump,146888,0.767
1553,California,CA,Orange,Republican,John Kasich,21285,0.111
1554,California,CA,Orange,Republican,Ted Cruz,16844,0.088
1555,California,CA,Placer,Republican,Donald Trump,25700,0.789
1556,California,CA,Placer,Republican,John Kasich,3364,0.103
1557,California,CA,Placer,Republican,Ted Cruz,2212,0.068
1558,California,CA,Plumas,Republican,Donald Trump,2588,0.818
1561,California,CA,Riverside,Republican,Donald Trump,82814,0.82
1562,California,CA,Riverside,Republican,John Kasich,7502,0.074
1563,California,CA,Riverside,Republican,Ted Cruz,7232,0.072
1564,California,CA,Sacramento,Republican,Donald Trump,43099,0.746
1565,California,CA,Sacramento,Republican,John Kasich,7206,0.125
1566,California,CA,Sacramento,Republican,Ted Cruz,5052,0.087
1570,California,CA,San Bernardino,Republican,Donald Trump,69186,0.797
1571,California,CA,San Bernardino,Republican,John Kasich,5883,0.068
1572,California,CA,San Bernardino,Republican,Ted Cruz,8165,0.094
1573,California,CA,San Diego,Republican,Donald Trump,124255,0.784
1574,California,CA,San Diego,Republican,John Kasich,16572,0.105
1575,California,CA,San Diego,Republican,Ted Cruz,12275,0.077
1576,California,CA,San Francisco,Republican,Donald Trump,7244,0.613
1577,California,CA,San Francisco,Republican,John Kasich,2963,0.251
1579,California,CA,San Joaquin,Republican,Donald Trump,22042,0.78
1580,California,CA,San Joaquin,Republican,John Kasich,2325,0.082
1581,California,CA,San Joaquin,Republican,Ted Cruz,2633,0.093
1582,California,CA,San Luis Obispo,Republican,Donald Trump,19313,0.755
1583,California,CA,San Luis Obispo,Republican,John Kasich,2980,0.116
1584,California,CA,San Luis Obispo,Republican,Ted Cruz,2129,0.083
1585,California,CA,San Mateo,Republican,Donald Trump,12984,0.683
1586,California,CA,San Mateo,Republican,John Kasich,3867,0.203
1588,California,CA,Santa Barbara,Republican,Donald Trump,18167,0.749
1589,California,CA,Santa Barbara,Republican,John Kasich,3071,0.127
1590,California,CA,Santa Barbara,Republican,Ted Cruz,2002,0.083
1591,California,CA,Santa Clara,Republican,Donald Trump,35568,0.645
1592,California,CA,Santa Clara,Republican,John Kasich,10894,0.197
1593,California,CA,Santa Clara,Republican,Ted Cruz,6012,0.109
1594,California,CA,Santa Cruz,Republican,Donald Trump,5883,0.679
1595,California,CA,Santa Cruz,Republican,John Kasich,1639,0.189
1597,California,CA,Shasta,Republican,Donald Trump,14822,0.812
1599,California,CA,Shasta,Republican,Ted Cruz,1566,0.086
1603,California,CA,Siskiyou,Republican,Donald Trump,3573,0.819
1606,California,CA,Solano,Republican,Donald Trump,17548,0.768
1607,California,CA,Solano,Republican,John Kasich,2266,0.099
1608,California,CA,Solano,Republican,Ted Cruz,1949,0.085
1609,California,CA,Sonoma,Republican,Donald Trump,16602,0.675
1610,California,CA,Sonoma,Republican,John Kasich,4425,0.18
1611,California,CA,Sonoma,Republican,Ted Cruz,2034,0.083
1612,California,CA,Stanislaus,Republican,Donald Trump,15390,0.767
1613,California,CA,Stanislaus,Republican,John Kasich,1557,0.078
1614,California,CA,Stanislaus,Republican,Ted Cruz,2201,0.11
1615,California,CA,Sutter,Republican,Donald Trump,4697,0.827
1618,California,CA,Tehama,Republican,Donald Trump,3940,0.844
1624,California,CA,Tulare,Republican,Donald Trump,15334,0.809
1626,California,CA,Tulare,Republican,Ted Cruz,1577,0.083
1627,California,CA,Tuolumne,Republican,Donald Trump,4949,0.816
1630,California,CA,Ventura,Republican,Donald Trump,38493,0.745
1631,California,CA,Ventura,Republican,John Kasich,6499,0.126
1632,California,CA,Ventura,Republican,Ted Cruz,4787,0.093
1633,California,CA,Yolo,Republican,Donald Trump,5110,0.723
1636,California,CA,Yuba,Republican,Donald Trump,3210,0.828
2153,Connecticut,CT,Bristol,Republican,Donald Trump,1971,0.638
2204,Connecticut,CT,Danbury,Republican,Donald Trump,2096,0.657
2249,Connecticut,CT,Enfield,Republican,Donald Trump,1518,0.632
2255,Connecticut,CT,Fairfield,Republican,Donald Trump,2597,0.484
2256,Connecticut,CT,Fairfield,Republican,John Kasich,2183,0.407
2264,Connecticut,CT,Glastonbury,Republican,Donald Trump,1521,0.477
2273,Connecticut,CT,Greenwich,Republican,Donald Trump,3007,0.481
2274,Connecticut,CT,Greenwich,Republican,John Kasich,2591,0.414
2354,Connecticut,CT,Milford,Republican,Donald Trump,2341,0.648
2393,Connecticut,CT,Newtown,Republican,Donald Trump,1654,0.567
2411,Connecticut,CT,Norwalk,Republican,Donald Trump,2186,0.567
2480,Connecticut,CT,Shelton,Republican,Donald Trump,2344,0.655
2495,Connecticut,CT,Southbury,Republican,Donald Trump,1502,0.613
2498,Connecticut,CT,Southington,Republican,Donald Trump,2241,0.633
2507,Connecticut,CT,Stamford,Republican,Donald Trump,3473,0.575
2508,Connecticut,CT,Stamford,Republican,John Kasich,1830,0.303
2516,Connecticut,CT,Stratford,Republican,Donald Trump,1906,0.656
2534,Connecticut,CT,Trumbull,Republican,Donald Trump,1946,0.602
2546,Connecticut,CT,Wallingford,Republican,Donald Trump,1590,0.607
2555,Connecticut,CT,Waterbury,Republican,Donald Trump,1782,0.721
2565,Connecticut,CT,West Hartford,Republican,John Kasich,1519,0.451
2618,Delaware,DE,Kent,Republican,Donald Trump,8294,0.653
2619,Delaware,DE,Kent,Republican,John Kasich,1669,0.131
2620,Delaware,DE,Kent,Republican,Ted Cruz,2324,0.183
2621,Delaware,DE,New Castle,Republican,Donald Trump,16384,0.51
2622,Delaware,DE,New Castle,Republican,John Kasich,8807,0.274
2623,Delaware,DE,New Castle,Republican,Ted Cruz,5878,0.183
2624,Delaware,DE,Sussex,Republican,Donald Trump,17794,0.711
2625,Delaware,DE,Sussex,Republican,John Kasich,3749,0.15
2626,Delaware,DE,Sussex,Republican,Ted Cruz,2908,0.116
2761,Florida,FL,Alachua,Republican,Donald Trump,9241,0.382
2762,Florida,FL,Alachua,Republican,John Kasich,1902,0.079
2763,Florida,FL,Alachua,Republican,Marco Rubio,6979,0.288
2764,Florida,FL,Alachua,Republican,Ted Cruz,5213,0.215
2765,Florida,FL,Baker,Republican,Donald Trump,2163,0.531
2769,Florida,FL,Bay,Republican,Donald Trump,14426,0.487
2771,Florida,FL,Bay,Republican,Marco Rubio,5832,0.197
2772,Florida,FL,Bay,Republican,Ted Cruz,7153,0.242
2773,Florida,FL,Bradford,Republican,Donald Trump,1802,0.495
2777,Florida,FL,Brevard,Republican,Donald Trump,45483,0.463
2778,Florida,FL,Brevard,Republican,John Kasich,6250,0.064
2779,Florida,FL,Brevard,Republican,Marco Rubio,24330,0.248
2780,Florida,FL,Brevard,Republican,Ted Cruz,19334,0.197
2781,Florida,FL,Broward,Republican,Donald Trump,52759,0.493
2782,Florida,FL,Broward,Republican,John Kasich,7674,0.072
2783,Florida,FL,Broward,Republican,Marco Rubio,30370,0.284
2784,Florida,FL,Broward,Republican,Ted Cruz,13773,0.129
2789,Florida,FL,Charlotte,Republican,Donald Trump,16525,0.548
2790,Florida,FL,Charlotte,Republican,John Kasich,2314,0.077
2791,Florida,FL,Charlotte,Republican,Marco Rubio,6106,0.203
2792,Florida,FL,Charlotte,Republican,Ted Cruz,4214,0.14
2793,Florida,FL,Citrus,Republican,Donald Trump,15232,0.55
2794,Florida,FL,Citrus,Republican,John Kasich,1707,0.062
2795,Florida,FL,Citrus,Republican,Marco Rubio,4993,0.18
2796,Florida,FL,Citrus,Republican,Ted Cruz,4862,0.176
2797,Florida,FL,Clay,Republican,Donald Trump,19374,0.506
2798,Florida,FL,Clay,Republican,John Kasich,1643,0.043
2799,Florida,FL,Clay,Republican,Marco Rubio,8471,0.221
2800,Florida,FL,Clay,Republican,Ted Cruz,7832,0.205
2801,Florida,FL,Collier,Republican,Donald Trump,30071,0.461
2802,Florida,FL,Collier,Republican,John Kasich,7061,0.108
2803,Florida,FL,Collier,Republican,Marco Rubio,15594,0.239
2804,Florida,FL,Collier,Republican,Ted Cruz,10555,0.162
2805,Florida,FL,Columbia,Republican,Donald Trump,4019,0.48
2808,Florida,FL,Columbia,Republican,Ted Cruz,2438,0.291
2817,Florida,FL,Duval,Republican,Donald Trump,52588,0.471
2818,Florida,FL,Duval,Republican,John Kasich,5638,0.051
2819,Florida,FL,Duval,Republican,Marco Rubio,29844,0.267
2820,Florida,FL,Duval,Republican,Ted Cruz,19957,0.179
2821,Florida,FL,Escambia,Republican,Donald Trump,20856,0.417
2822,Florida,FL,Escambia,Republican,John Kasich,3092,0.062
2823,Florida,FL,Escambia,Republican,Marco Rubio,12708,0.254
2824,Florida,FL,Escambia,Republican,Ted Cruz,11365,0.227
2825,Florida,FL,Flagler,Republican,Donald Trump,9684,0.576
2827,Florida,FL,Flagler,Republican,Marco Rubio,3361,0.2
2828,Florida,FL,Flagler,Republican,Ted Cruz,2385,0.142
2837,Florida,FL,Gilchrist,Republican,Donald Trump,1860,0.588
2861,Florida,FL,Hernando,Republican,Donald Trump,15479,0.562
2863,Florida,FL,Hernando,Republican,Marco Rubio,4743,0.172
2864,Florida,FL,Hernando,Republican,Ted Cruz,4738,0.172
2865,Florida,FL,Highlands,Republican,Donald Trump,7480,0.5
2867,Florida,FL,Highlands,Republican,Marco Rubio,3147,0.21
2868,Florida,FL,Highlands,Republican,Ted Cruz,3055,0.204
2869,Florida,FL,Hillsborough,Republican,Donald Trump,53062,0.408
2870,Florida,FL,Hillsborough,Republican,John Kasich,9147,0.07
2871,Florida,FL,Hillsborough,Republican,Marco Rubio,37084,0.285
2872,Florida,FL,Hillsborough,Republican,Ted Cruz,25968,0.2
2877,Florida,FL,Indian River,Republican,Donald Trump,13678,0.483
2878,Florida,FL,Indian River,Republican,John Kasich,2938,0.104
2879,Florida,FL,Indian River,Republican,Marco Rubio,6574,0.232
2880,Florida,FL,Indian River,Republican,Ted Cruz,4191,0.148
2881,Florida,FL,Jackson,Republican,Donald Trump,2486,0.492
2893,Florida,FL,Lake,Republican,Donald Trump,26393,0.49
2894,Florida,FL,Lake,Republican,John Kasich,2916,0.054
2895,Florida,FL,Lake,Republican,Marco Rubio,12187,0.226
2896,Florida,FL,Lake,Republican,Ted Cruz,10607,0.197
2897,Florida,FL,Lee,Republican,Donald Trump,51659,0.476
2898,Florida,FL,Lee,Republican,John Kasich,8619,0.079
2899,Florida,FL,Lee,Republican,Marco Rubio,23939,0.22
2900,Florida,FL,Lee,Republican,Ted Cruz,19155,0.176
2901,Florida,FL,Leon,Republican,Donald Trump,9083,0.297
2902,Florida,FL,Leon,Republican,John Kasich,2763,0.09
2903,Florida,FL,Leon,Republican,Marco Rubio,8816,0.288
2904,Florida,FL,Leon,Republican,Ted Cruz,8642,0.282
2905,Florida,FL,Levy,Republican,Donald Trump,3745,0.576
2917,Florida,FL,Manatee,Republican,Donald Trump,26320,0.472
2918,Florida,FL,Manatee,Republican,John Kasich,4582,0.082
